Depth,N,C,S,SiO2bio,SiO2ter,OM,MM,CaCO3,TOC,TOC_N,microcharcoal,P,Na,K,Ca,Mg,Fe,Mn,Cu,Zn ,Fe_Mn,Na_K,Cu_Zn,Ca_Fe,Fe_S,erosion,Ca_Mg,TOCS,Fe_P
3.2400,1.3784,33.6627,0.8513,0.0000,32.0014,67.9986,32.0014,0.0000,33.6627,28.4914,2338.0000,0.5123,0.3443,8.0029,11.2393,6.0287,15.4928,0.1203,30.4582,114.5982,128.7867,0.0430,0.2658,0.7255,1.8198,1.2791,1.8643,39.5416,30.2417
3.2600,1.3243,29.6847,0.8717,0.0000,38.4099,61.5901,38.4099,0.0000,29.2440,25.7622,2002.0000,0.5645,0.3519,8.3159,11.5116,5.9915,15.9845,0.1245,29.1080,113.1119,128.3481,0.0423,0.2573,0.7202,1.8337,1.2734,1.9213,33.5486,28.3152
3.2800,1.3704,31.0059,0.8374,0.0000,36.7480,63.2520,36.7480,0.0000,31.0059,26.3962,3339.0000,0.5224,0.3223,7.9929,11.0029,5.7727,15.4588,0.1252,32.0182,127.8392,123.4644,0.0403,0.2505,0.7118,1.8459,1.2804,1.9060,37.0244,29.5924
3.3000,1.3287,31.4797,0.9691,0.0000,37.8793,62.1207,37.8793,0.0000,31.0635,27.2752,3738.0000,0.4808,0.3345,7.7750,11.0775,5.6003,15.8805,0.1216,27.5443,107.2601,130.5784,0.0430,0.2568,0.6976,1.6387,1.2376,1.9780,32.0547,33.0320
3.3200,1.3520,30.1935,0.8365,0.0000,42.0285,57.9715,42.0285,0.0000,30.1935,26.0546,3127.0000,0.4782,0.3209,7.9982,11.0291,5.9728,15.2387,0.1222,34.2983,103.4982,124.7027,0.0401,0.3314,0.7238,1.8216,1.2958,1.8466,36.0933,31.8661
3.3400,1.3528,31.4715,0.8384,0.0000,37.5738,62.4262,37.5738,0.0000,31.1118,26.8312,3772.0000,0.4564,0.3342,7.8629,11.3424,5.7862,15.4316,0.1359,27.2281,109.7798,113.5209,0.0425,0.2480,0.7350,1.8405,1.2328,1.9603,37.1070,33.8081
3.3600,1.3634,30.5630,0.8270,0.0000,41.5551,58.4449,41.5551,0.0000,30.5630,26.1533,4002.0000,0.4783,0.3340,8.2239,11.2782,5.8993,16.2283,0.1362,28.9281,102.3872,119.1259,0.0406,0.2825,0.6950,1.9624,1.2819,1.9118,36.9576,33.9313
3.3800,1.3742,32.2761,0.7885,0.0000,38.6661,61.3339,38.6661,0.0000,31.9044,27.0855,4772.0000,0.4852,0.3593,8.8470,11.0988,6.2800,16.2490,0.1363,31.6628,114.8863,119.1820,0.0406,0.2756,0.6830,2.0608,1.3953,1.7673,40.4641,33.4891
3.4000,1.3554,30.9061,0.7394,0.0000,41.0311,58.9689,41.0311,0.0000,30.9061,26.6032,4008.0000,0.4887,0.3570,8.5586,11.0291,6.1103,16.0229,0.1342,30.2983,104.2873,119.3885,0.0417,0.2905,0.6883,2.1670,1.3624,1.8050,41.7983,32.7855
3.4200,1.3219,30.6240,0.7155,0.0000,39.9870,60.0130,39.9870,0.0000,30.1993,26.6533,4127.0000,0.4724,0.3684,7.8308,11.0632,6.1592,15.5881,0.1323,25.7984,112.0056,117.8636,0.0470,0.2303,0.7097,2.1786,1.2978,1.7962,42.2062,32.9946
3.4400,1.2837,31.1072,0.6990,0.0000,39.0299,60.9701,39.0299,0.0000,31.1072,28.2710,6238.0000,0.4774,0.3776,8.3489,11.2229,6.7002,15.2392,0.1360,27.8892,110.9723,112.0299,0.0452,0.2513,0.7364,2.1800,1.3746,1.6750,44.5001,31.9226
3.4600,1.2277,31.1725,0.6051,0.0000,38.8584,61.1416,38.8584,0.0000,30.7814,29.2509,7221.0000,0.9707,0.3859,9.4908,11.2632,6.7274,16.4982,0.1385,32.8821,108.0669,119.1444,0.0407,0.3043,0.6827,2.7264,1.4742,1.6742,50.8678,16.9956
3.4800,1.2442,27.9356,0.5355,0.0000,46.6430,53.3570,46.6430,0.0000,27.9356,26.1958,10829.0000,0.6847,0.3993,9.7728,11.0729,6.9901,17.2932,0.1440,30.4497,107.8273,120.1062,0.0409,0.2824,0.6403,3.2295,1.5499,1.5841,52.1691,25.2566
3.5000,1.2104,27.6482,0.4848,0.0000,45.2725,54.7275,45.2725,0.0000,27.2624,26.2782,8665.0000,0.4560,0.4201,9.2795,11.0372,7.1726,17.0606,0.1510,29.1223,116.1940,112.9606,0.0453,0.2506,0.6469,3.5194,1.5287,1.5388,56.2388,37.4114
3.5200,1.1934,26.7075,0.4889,0.0000,48.7217,51.2783,48.7217,0.0000,26.7075,26.1096,12236.0000,0.4421,0.4009,9.0291,11.7282,7.0993,17.8829,0.1500,27.8728,112.9382,119.2172,0.0444,0.2468,0.6558,3.6575,1.4094,1.6520,54.6229,40.4499
3.5400,1.1631,25.5010,0.5165,0.0000,48.0758,51.9242,48.0758,0.0000,25.1323,25.2091,12273.0000,0.4054,0.4463,10.3528,11.9200,7.8166,18.9873,0.1522,34.2252,119.0334,124.7544,0.0431,0.2875,0.6278,3.6765,1.5617,1.5250,48.6631,46.8320
3.5600,1.1143,25.2023,0.4810,0.0000,48.5873,51.4127,48.5873,0.0000,25.2023,26.3875,11321.0000,0.4283,0.4233,10.2291,11.2625,7.8228,19.2283,0.1500,31.9283,120.8273,128.1633,0.0414,0.2642,0.5857,3.9974,1.6404,1.4397,52.3929,44.8945
3.5800,1.1238,24.7892,0.5294,0.0000,50.1087,49.8913,50.1087,0.0000,24.4237,25.3556,12992.0000,0.4649,0.4908,9.9541,11.3563,7.7940,20.6954,0.1616,32.0054,127.2876,128.0532,0.0493,0.2514,0.5487,3.9094,1.6061,1.4571,46.1364,44.5176
